Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId
101,98,9,8,92,90,2
35,35,5,6,30,30,18
156,134,14,11,143,123,31
70,71,6,7,64,65,4
37,36,6,6,32,31,10
41,41,5,5,36,36,1
97,97,9,9,89,89,7
45,54,5,5,40,49,38
144,145,13,13,132,133,16
43,38,6,6,37,33,13
79,75,7,6,72,69,23
43,39,5,5,38,34,23
32,35,5,6,27,30,9
46,37,6,5,41,32,30
47,45,5,6,42,40,18
36,37,5,6,31,32,10
34,31,6,6,28,26,11
32,33,5,5,27,28,15
30,31,5,6,25,26,5
50,50,5,5,45,45,0
33,30,6,5,27,24,25
41,38,5,6,36,33,23
51,44,6,5,46,39,31
99,89,8,8,91,82,23
42,40,6,5,37,35,3
34,35,5,6,29,30,4
37,36,6,5,31,31,10
55,53,6,6,50,48,12
35,32,6,5,30,27,10
60,58,5,5,55,53,13
33,34,5,6,27,28,8
97,98,8,9,89,90,1
105,93,10,9,96,85,13
65,57,6,6,60,52,13
35,34,5,6,30,29,17
29,29,6,5,23,23,7
61,57,5,6,56,52,31
39,40,5,5,34,35,41
55,55,5,6,50,50,36
41,41,5,5,36,36,38
30,33,5,6,25,28,6
87,76,8,6,79,70,29
26,28,5,6,21,23,4
32,28,6,5,27,23,22
30,31,6,5,25,25,35
59,58,6,5,54,53,1
49,48,6,6,43,43,23
31,30,6,6,26,25,4
72,72,7,6,66,66,4
40,43,6,6,35,38,13
95,95,8,9,87,87,16
38,38,5,5,33,33,3
43,48,5,5,38,42,13
27,27,6,5,22,22,2
51,52,6,6,46,47,31
29,28,6,5,24,23,9
63,55,6,5,57,50,20
27,28,6,6,22,22,23
30,29,6,5,25,24,4
37,37,5,5,32,32,8
41,59,6,5,35,54,29
43,44,6,6,38,39,5
106,95,10,9,97,86,29
33,34,5,6,28,29,17
38,39,5,6,32,34,9
46,42,6,5,41,37,18
31,31,6,6,26,26,10
40,51,6,6,35,46,1
32,29,6,5,26,24,25
40,39,6,5,35,34,13
48,56,6,6,43,51,4
40,37,5,6,35,32,20
79,80,7,8,72,73,33
56,52,5,5,51,47,23
38,37,5,5,33,32,1
44,45,5,5,39,40,17
50,48,6,6,44,42,35
36,36,5,6,31,31,24
45,44,6,6,40,39,6
54,61,5,6,48,56,24
40,41,6,6,35,36,34
60,58,6,5,55,53,1
115,93,10,9,105,84,19
76,73,7,6,70,67,36
56,57,5,6,51,52,10
46,47,5,5,41,42,2
77,89,7,8,71,82,7
35,36,6,5,30,31,4
133,119,12,11,122,109,26
31,32,5,5,26,27,12
52,52,5,5,47,47,2
64,62,5,6,59,57,4
75,76,6,7,69,70,10
77,77,7,7,71,71,1
107,109,10,9,98,99,1
36,37,6,6,31,32,2
40,40,6,6,35,35,35
42,44,6,6,37,38,8
27,26,6,6,22,21,2
42,36,6,5,37,31,30
35,37,6,6,30,32,3
42,41,6,5,37,36,15
50,49,5,5,45,44,38
51,52,6,5,46,47,3
27,25,6,5,22,20,7
32,35,5,6,27,30,1
92,82,9,7,84,75,23
47,43,6,5,42,38,25
39,40,6,6,34,35,3
41,40,6,5,36,35,1
70,71,6,6,64,65,25
36,36,5,6,31,30,5
36,35,6,5,31,30,1
35,40,6,6,30,35,9
57,56,6,5,52,51,12
27,27,6,5,22,21,8
72,72,7,6,66,66,35
75,73,7,6,69,67,1
54,49,6,5,49,44,11
33,27,6,5,28,22,12
37,34,6,5,32,29,11
42,38,6,5,37,33,31
52,51,6,5,47,46,38
65,72,6,7,60,66,12
52,48,6,6,47,43,28
42,43,5,5,37,38,4
57,56,6,5,52,51,2
61,56,5,6,55,50,18
71,70,7,6,65,64,10
32,33,6,6,27,28,9
33,32,6,6,27,27,12
32,30,5,5,27,25,13
34,31,6,5,29,26,17
55,54,6,5,49,48,14
70,69,7,6,64,63,2
35,35,5,5,30,30,20
60,60,6,6,55,55,1
60,62,6,5,55,57,12
31,31,5,5,26,26,8
41,42,5,6,36,37,7
42,43,5,6,37,38,8
42,44,6,5,37,39,24
46,48,5,5,41,43,2
89,83,8,7,82,76,22
36,36,6,6,31,31,35
42,40,5,6,37,35,1
36,38,5,6,31,33,9
51,50,6,5,46,45,10
36,38,5,6,31,32,1
27,29,6,6,22,24,17
32,32,6,5,27,27,17
34,35,5,6,29,30,9
71,65,6,6,65,60,28
35,35,6,5,30,30,7
41,40,6,5,36,35,1
30,34,5,6,25,29,14
35,38,6,5,29,32,12
34,34,6,5,29,29,7
38,36,5,5,33,31,18
54,57,5,6,49,52,12
54,54,6,6,49,49,1
99,99,8,8,91,90,33
63,67,6,6,58,61,3
31,33,6,5,26,28,15
55,51,6,5,50,46,22
73,73,6,7,67,67,24
37,36,5,5,31,30,1
27,28,5,6,21,23,8
38,37,6,6,33,32,4
86,94,8,9,79,85,33
39,38,5,6,33,32,22
40,39,6,6,35,34,12
41,41,6,6,36,36,38
56,56,6,6,51,51,18
37,33,6,6,32,28,13
131,128,11,11,120,117,30
27,27,6,6,22,22,12
33,33,5,5,28,28,31
62,64,5,6,57,59,5
47,50,5,6,42,45,38
40,42,5,5,35,37,6
41,41,5,5,35,36,4
31,32,5,6,26,27,2
35,31,6,5,30,26,25
40,42,5,5,34,37,4
30,29,5,5,25,24,1
41,39,5,6,36,34,21
35,37,5,5,30,32,2
44,48,5,5,39,43,16
33,33,6,5,28,28,38
92,92,9,8,84,84,39
106,105,9,9,97,96,25
46,53,5,5,40,47,13
46,42,6,5,41,37,11
112,122,10,10,102,111,33
84,79,7,7,77,72,13
76,80,6,8,69,73,14
44,58,5,5,39,53,1
44,47,5,6,39,42,8
43,43,6,6,38,38,12
41,42,5,6,35,37,7
53,50,6,5,48,45,9
28,30,5,5,23,25,8
62,70,5,6,57,64,17
38,37,6,6,33,31,25
40,43,5,6,35,38,42
79,74,7,7,72,68,29
98,89,8,7,90,81,13
36,36,6,5,31,31,25
58,54,6,5,53,49,24
35,36,6,6,30,31,12
32,34,5,5,27,29,6
69,60,7,5,62,55,28
61,60,5,6,56,55,31
48,52,6,6,43,47,39
74,68,6,6,67,62,25
34,37,5,6,29,32,5
34,33,5,5,29,28,32
34,34,6,6,29,29,38
32,32,6,5,27,27,42
41,42,5,6,36,37,8
30,35,5,6,25,30,1
58,56,6,5,53,51,3
47,44,6,5,42,39,24
32,37,6,6,27,32,8
63,64,5,6,58,59,1
35,37,5,5,30,32,38
38,38,5,5,33,33,10
70,70,6,6,64,64,10
31,30,5,5,26,25,40
40,36,6,6,35,31,23
28,27,5,6,22,21,5
43,45,5,5,38,40,41
45,47,5,6,40,42,17
76,76,6,6,70,70,38
58,63,6,6,53,58,17
42,40,6,5,37,35,5
31,32,5,6,26,27,8
33,33,5,6,28,28,4
60,59,6,5,55,54,8
38,39,5,5,33,34,9
49,49,6,5,44,43,4
93,82,9,7,85,75,31
28,28,5,6,23,23,25
33,33,5,5,28,28,31
46,46,5,6,41,41,7
36,35,6,5,31,30,12
97,86,8,8,89,79,13
49,48,6,5,43,42,12
68,69,7,6,62,63,5
28,28,5,6,23,23,1
40,42,5,5,35,37,12
30,31,5,6,25,26,38
33,30,6,5,27,25,10
30,30,5,6,24,25,35
43,44,5,5,37,38,1
56,57,5,6,51,52,3
45,44,6,5,40,39,10
70,62,7,5,64,57,25
48,51,6,5,43,46,9
44,40,5,6,39,35,30
35,35,6,6,29,29,38
46,46,6,6,41,41,5
74,71,7,6,68,65,2
30,30,6,6,25,25,5
32,32,5,5,26,26,9
46,41,6,5,41,36,27
44,42,6,5,39,37,7
40,34,6,6,34,29,20
36,38,6,6,31,32,38
35,35,6,6,30,30,10
51,51,6,6,46,46,15
40,40,6,6,35,35,4
62,61,6,6,57,56,37
50,49,6,5,45,44,1
48,49,5,6,43,44,34
56,51,6,5,51,46,27
51,52,6,6,46,47,4
46,47,5,6,41,42,8
42,52,5,6,37,46,35
30,29,5,5,25,24,3
39,41,5,6,34,36,4
40,39,5,5,34,34,4
38,38,5,5,33,33,29
90,87,8,8,82,79,13
30,30,5,6,25,25,5
42,46,5,6,37,41,39
118,105,11,9,108,96,18
56,55,6,5,51,50,1
46,41,6,6,41,36,18
47,47,6,6,42,42,12
56,57,6,5,51,52,35
35,34,6,5,30,29,8
35,37,6,6,30,32,3
32,33,6,5,26,27,8
74,71,7,6,67,65,2
81,86,8,8,74,78,25
26,26,5,5,21,21,5
50,50,6,5,45,44,9
25,40,5,5,20,34,17
28,32,6,5,22,26,13
38,37,6,5,33,32,8
79,73,7,7,72,67,7
29,28,6,5,24,23,3
30,29,6,5,25,24,15
34,36,5,5,29,30,5
41,41,6,6,36,36,4
40,38,6,6,34,32,25
33,46,5,5,28,41,17
63,53,6,5,58,48,28
39,38,6,5,34,33,9
47,45,5,5,42,40,25
46,46,6,5,41,41,10
68,52,7,5,62,47,13
26,28,5,6,21,22,14
30,30,6,6,25,25,2
47,42,6,5,42,37,25
29,31,5,6,24,26,14
39,41,6,5,34,36,8
28,34,5,5,23,29,33
100,91,8,8,92,83,23
46,47,5,6,41,42,38
39,40,5,6,34,35,42
29,30,5,5,24,24,18
37,35,5,5,32,30,2
84,87,8,8,76,80,14
28,28,6,6,23,23,4
35,34,6,5,29,29,5
62,62,6,6,57,57,5
33,34,6,6,28,29,7
33,28,6,6,28,23,12
62,63,6,6,56,57,3
76,76,6,6,70,70,4
34,32,6,6,29,27,10
55,54,6,5,50,49,2
50,50,5,6,45,45,33
40,43,5,6,35,38,5
30,30,6,5,25,24,38
39,39,5,5,34,33,7
50,51,5,5,45,46,9
71,72,7,7,65,66,2
62,54,6,5,57,49,13
29,28,6,5,24,23,5
40,37,5,5,34,32,25
30,30,5,5,25,25,4
54,54,5,5,49,49,38
44,43,6,5,38,38,9
58,59,5,6,53,54,8
40,40,5,5,35,35,9
27,28,5,6,22,23,35
49,47,6,5,44,42,2
74,72,6,6,68,66,40
40,45,5,6,35,40,13
42,43,5,5,37,38,38
46,47,6,6,41,42,35
31,30,6,5,25,25,17
31,33,5,5,26,28,12
141,128,13,11,129,117,19
26,28,5,5,21,22,1
47,43,6,6,42,38,30
93,84,9,7,85,77,13
54,57,5,5,49,52,33
110,104,9,9,101,95,26
43,45,6,5,37,39,17
25,27,5,5,20,22,6
67,61,6,6,61,56,26
35,34,5,5,30,29,13
71,61,6,6,65,56,10
34,33,6,5,29,28,1
58,57,5,6,53,52,12
33,33,5,5,28,28,4
54,54,5,5,49,49,14
29,29,6,6,24,24,7
97,84,8,8,89,77,30
62,57,5,6,57,52,25
120,111,11,9,110,101,25
40,39,5,5,35,34,2
33,32,6,6,28,27,2
59,59,5,5,54,54,4
32,30,5,6,27,25,29
50,52,5,6,45,47,1
53,49,6,6,48,44,23
44,49,5,6,39,44,12
27,28,5,6,22,23,12
73,73,7,7,67,67,12
92,94,8,8,84,85,18
39,40,5,5,34,35,30
33,31,5,6,28,26,25
47,46,6,5,42,41,1
31,33,6,5,26,27,32
38,37,6,5,33,32,4
72,64,7,5,66,59,13
36,33,6,6,31,28,27
51,47,6,5,46,42,18
168,167,15,14,154,153,14
74,79,6,7,68,72,11
61,63,5,6,55,57,14
32,28,6,6,27,23,25
41,40,6,5,36,35,7
66,68,6,6,60,62,38
31,32,5,6,26,27,15
36,35,6,5,31,30,38
35,42,5,5,30,37,13
31,34,6,5,26,29,12
45,43,6,5,39,37,8
47,49,5,5,42,44,12
35,29,5,5,30,24,12
38,38,5,5,33,33,8
34,32,6,5,29,27,2
29,30,5,6,24,25,2
50,50,5,5,45,45,11
38,40,5,5,33,35,6
87,88,8,8,80,81,13
113,104,10,9,104,95,18
57,58,6,6,52,53,10
37,39,5,6,32,33,2
35,36,5,6,30,31,39
54,50,5,6,49,45,22
141,126,13,11,129,115,11
39,36,6,6,34,31,18
62,59,6,5,57,54,38
41,40,5,5,36,35,31
55,51,6,6,50,46,28
61,60,6,5,56,55,34
34,33,6,5,29,28,8
45,47,5,6,40,42,3
62,71,5,6,57,65,14
38,39,5,6,33,34,7
41,40,5,6,36,35,20
70,59,7,5,64,54,23
33,34,6,6,28,29,7
46,42,6,5,41,37,28
59,57,5,5,54,52,25
47,42,5,5,42,37,31
53,54,5,5,48,49,0
46,48,5,5,41,43,17
41,41,6,6,36,36,1
39,44,5,6,34,38,33
43,42,6,5,38,37,8
69,74,6,7,63,68,3
39,38,6,5,34,33,14
37,38,5,6,32,33,31
27,28,6,5,22,23,1
27,29,6,6,22,24,3
77,69,7,6,71,63,25
32,33,5,6,27,28,13
36,32,6,5,31,27,8
52,51,6,5,47,45,15
40,43,5,6,35,38,1
42,38,6,5,36,32,27
107,108,10,10,97,98,1
43,43,5,5,38,38,9
39,36,6,5,34,31,30
56,53,6,5,51,48,18
53,51,6,6,48,46,31
108,99,9,9,99,91,27
71,76,6,6,65,69,37
34,34,6,5,29,29,14
34,30,6,5,28,25,26
51,51,5,5,46,46,10
70,71,6,6,64,65,12
97,99,9,9,89,91,36
52,53,6,6,47,48,12
31,32,5,6,26,27,0
61,58,5,5,56,53,21
38,38,6,5,33,33,36
36,35,5,5,31,30,26
38,34,6,5,33,29,13
40,35,6,5,35,30,18
30,29,5,5,25,24,5
47,47,5,6,42,41,4
51,50,6,5,45,45,38
38,39,6,6,33,34,10
30,31,6,6,25,26,3
62,63,6,6,57,58,4
30,30,5,5,25,25,38
50,48,5,5,45,43,32
47,45,6,5,42,40,33
49,49,5,5,44,44,1
107,94,9,9,98,86,19
37,37,5,6,32,32,37
35,32,6,6,30,27,31
29,30,5,5,24,25,3
42,38,6,5,37,33,26
56,52,5,5,50,47,22
48,49,5,5,43,44,38
36,50,6,6,30,44,17
38,40,6,6,33,35,38
92,93,9,9,84,85,12
27,28,5,6,22,23,20
43,44,5,6,38,39,15
94,99,8,8,86,91,35
41,41,5,5,36,36,34
74,88,7,8,68,80,38
34,36,5,6,29,31,17
99,84,9,8,91,77,12
37,38,5,6,32,33,9
60,56,6,6,55,51,21
51,46,6,6,46,41,23
33,34,5,6,28,29,41
32,32,6,6,27,27,5
26,27,5,5,21,21,35
58,58,6,5,52,53,38
45,47,5,6,40,42,2
44,44,6,5,39,39,1
69,69,6,6,63,63,4
56,58,6,5,51,53,4
29,30,6,6,24,25,6
37,42,5,5,31,37,33
58,56,5,6,53,51,27
48,48,5,6,43,43,25
48,50,5,6,43,45,35
39,40,5,6,34,35,33
74,73,7,7,68,67,4
38,39,6,6,33,34,41
29,29,5,5,24,24,34
56,50,5,6,50,44,25
29,29,6,5,24,24,5
48,46,5,5,43,41,8
39,40,6,6,34,35,8
46,47,5,6,41,42,11
43,41,5,6,38,36,13
46,49,6,5,41,44,12
34,34,6,6,29,29,4
40,40,6,5,34,34,11
65,64,6,5,60,59,32
36,41,6,6,31,36,17
45,42,5,6,40,37,25
38,38,5,6,33,33,26
64,58,6,5,59,53,25
51,49,6,5,46,44,23
125,132,11,12,115,121,9
128,129,11,12,117,118,12
30,30,5,5,25,25,15
65,71,6,7,60,65,12
81,73,7,7,74,67,26
44,44,5,5,39,39,38
35,35,6,6,30,30,3
42,41,6,5,37,36,10
98,98,9,9,89,90,1
45,44,6,5,40,39,5
56,54,5,5,51,49,32
92,87,8,7,84,80,31
35,35,5,5,30,30,18
33,34,5,6,28,29,38
55,49,5,6,50,44,13
32,32,6,5,27,26,38
39,37,6,5,34,32,18
60,55,5,5,55,50,28
69,68,7,6,63,62,1
95,101,8,9,87,93,3
32,34,5,5,27,28,5
29,28,6,5,24,23,1
30,30,5,5,25,25,1
45,44,5,6,40,39,25
30,30,5,5,25,25,12
31,30,5,5,26,25,2
36,35,5,6,31,30,31
49,51,6,6,44,46,1
51,47,5,6,46,42,29
49,49,6,5,44,44,35
51,57,6,6,46,52,33
49,49,5,5,44,44,8
29,28,6,5,24,23,5
54,49,5,6,49,44,29
56,57,6,6,51,52,38
49,49,5,5,43,44,33
58,58,5,5,53,53,12
43,53,5,6,38,47,15
62,64,5,6,56,59,15
39,43,6,5,33,38,33
35,34,6,5,29,28,10
39,38,5,6,34,33,13
30,31,5,5,25,26,12
74,69,6,6,68,63,25
39,41,5,6,33,36,1
30,32,6,6,25,27,6
29,31,5,6,24,26,7
39,40,5,5,34,35,36
38,39,5,6,32,33,5
50,51,5,6,45,46,15
38,37,6,5,33,32,4
66,59,6,6,60,53,25
32,32,6,6,27,27,38
37,37,6,6,32,32,14
51,51,6,5,46,46,7
64,64,5,5,59,59,1
36,37,5,5,30,32,38
40,43,5,6,35,38,33
33,33,5,5,28,28,35
38,44,5,6,33,38,15
56,53,6,6,50,48,18
56,57,5,5,51,51,8
51,57,6,6,46,52,33
34,34,6,6,29,29,25
32,31,6,5,26,25,1
38,38,6,6,33,32,9
32,32,6,5,27,27,35
28,28,6,5,23,23,41
43,45,5,6,38,40,3
81,84,7,7,74,76,12
56,56,6,5,50,50,14
56,54,5,5,51,48,13
72,62,6,5,66,57,26
28,28,6,6,22,23,1
30,29,6,5,25,24,35
57,56,6,6,52,51,1
57,58,6,5,52,53,4
46,45,6,6,41,40,2
44,47,5,5,39,42,12
33,32,6,6,28,27,30
39,38,6,5,34,33,8
41,42,6,6,36,37,14
75,73,7,6,69,67,2
26,31,6,5,21,25,34
70,61,6,6,64,56,23
48,45,5,5,43,40,19
47,46,6,5,42,41,41
44,44,6,6,39,39,35
45,40,6,5,40,35,5
47,51,6,5,42,46,1
29,32,5,6,24,27,4
34,34,5,5,29,29,16
32,31,6,5,27,26,31
38,36,5,6,32,30,25
42,43,5,5,37,38,37
52,52,6,5,47,47,38
45,43,5,5,40,38,13
43,47,5,6,38,42,38
52,52,6,5,47,47,1
29,31,5,6,24,26,9
127,125,11,11,116,115,11
34,31,5,5,29,26,8
101,109,9,9,93,100,14
29,32,5,6,24,27,32
55,51,5,5,50,46,2
84,72,8,7,77,66,11
38,37,6,5,33,32,12
52,52,5,5,47,47,35
64,62,5,5,59,57,5
34,33,6,5,29,28,12
59,58,6,5,54,53,4
47,50,5,6,42,45,17
40,40,6,6,35,35,5
42,45,5,5,37,39,0
34,36,6,6,29,31,1
41,39,5,6,36,34,21
77,82,7,7,71,75,0
49,49,5,6,43,43,5
29,31,6,6,24,26,38
67,94,6,8,61,86,38
64,55,6,5,58,50,25
27,29,5,6,21,23,4
29,29,5,5,24,24,5
68,61,6,6,62,56,13
38,40,5,5,33,34,12
93,92,9,8,85,84,1
31,34,5,6,26,29,3
40,43,5,6,35,37,8
35,35,6,6,30,30,38
59,61,6,6,54,55,1
28,28,6,5,23,23,38
68,61,6,6,62,56,29
92,95,8,9,84,87,0
46,47,6,5,41,42,38
31,29,6,5,26,24,3
47,47,6,6,42,42,9
32,40,5,5,27,35,13
46,46,5,5,41,41,2
76,82,6,7,70,75,5
25,27,5,6,20,21,9
40,37,6,5,34,32,9
45,46,5,5,40,41,10
50,50,6,6,45,45,4
55,51,5,6,49,46,11
34,31,6,5,29,26,13
49,43,5,5,44,38,18
69,71,6,7,63,65,9
29,26,6,5,23,20,26
44,41,6,6,39,35,31
32,33,5,5,27,28,17
36,37,5,6,31,32,12
38,39,5,6,33,34,4
93,83,8,7,85,76,26
33,36,6,6,28,31,8
38,39,5,5,33,34,3
29,29,6,5,24,24,4
43,42,6,5,38,37,33
27,29,5,6,22,23,5
73,67,7,6,67,61,7
37,37,5,5,32,32,13
41,42,6,5,36,37,30
70,65,6,6,64,60,11
164,149,14,13,150,137,29
53,52,6,5,48,47,8
62,58,5,6,57,53,29
55,54,6,5,50,49,10
40,42,5,6,35,37,1
41,42,5,6,36,37,4
35,36,5,5,30,30,8
36,35,6,5,31,30,4
28,28,5,5,23,23,10
42,44,5,6,36,39,10
38,38,6,5,33,33,2
49,50,5,6,44,45,4
45,57,6,5,40,52,38
35,38,6,5,30,32,35
32,32,6,6,27,27,16
28,28,5,5,23,23,3
57,56,5,6,52,51,35
36,37,6,5,31,31,33
41,43,5,5,36,37,2
36,32,6,5,31,27,8
30,30,6,6,25,25,4
74,74,7,7,67,67,2
36,36,6,5,31,31,9
40,38,6,5,35,33,25
34,33,6,5,29,28,0
49,46,5,6,43,41,1
31,31,6,6,26,26,12
31,29,6,5,26,24,8
43,43,5,6,37,38,2
53,53,5,5,48,48,14
51,50,6,6,46,44,1
83,83,7,8,76,76,12
121,131,11,11,111,120,34
32,40,5,6,27,35,17
69,68,7,6,63,62,8
62,64,5,6,57,59,12
32,30,5,5,27,25,13
32,34,5,6,27,29,38
50,51,6,6,45,46,2
41,40,6,6,36,35,4
99,94,8,8,91,86,9
40,40,6,6,35,35,12
45,41,6,6,40,36,25
54,56,6,6,49,51,2
33,33,5,6,27,28,9
70,72,7,7,64,66,40
80,72,8,7,73,66,25
34,35,6,6,29,29,8
83,84,8,7,76,76,8
55,55,5,5,50,49,36
55,52,5,6,50,47,13
51,51,6,6,46,46,35
38,40,6,5,33,35,2
72,71,6,7,65,64,33
108,110,10,9,99,101,39
91,97,8,8,83,89,38
60,121,5,11,55,111,15
48,49,6,6,43,44,4
42,40,5,5,37,35,34
67,68,6,6,61,62,2
81,76,8,7,74,70,7
35,36,6,6,30,31,38
26,28,6,6,21,22,38
35,41,6,6,29,36,33
50,53,5,6,44,47,17
34,36,5,6,29,31,11
46,41,5,6,41,36,19
59,61,5,6,54,56,17
37,33,6,5,32,28,13
33,32,6,5,27,27,4
43,43,6,6,38,38,39
59,59,6,6,54,53,35
106,107,10,9,96,98,9
70,69,7,6,64,63,16
48,51,6,6,43,46,3
100,104,9,9,92,95,1
48,48,5,5,43,43,20
95,96,9,8,87,88,4
39,41,5,6,34,36,9
37,36,6,5,32,31,20
65,57,6,6,60,52,19
52,52,5,5,47,47,13
43,42,6,5,38,37,37
69,68,6,7,63,62,37
107,111,9,10,98,102,18
28,28,6,5,23,22,12
27,27,6,6,22,22,15
39,40,5,6,34,35,10
31,31,6,6,26,26,9
48,50,5,6,43,45,38
52,54,6,6,46,48,34
30,31,5,5,25,25,30
30,30,5,5,25,25,2
43,40,6,5,38,35,8
39,38,5,5,34,33,13
54,54,5,5,49,49,3
75,69,6,6,69,63,30
41,43,5,5,36,38,4
39,40,5,6,34,35,16
107,94,10,9,98,86,11
37,37,5,5,32,32,3
69,59,7,5,63,54,11
28,30,5,6,23,25,38
72,73,6,6,66,67,12
49,44,5,5,43,39,11
70,63,6,5,64,58,11
43,43,6,6,38,38,1
51,52,6,5,46,46,6
65,57,6,6,60,52,2
59,57,6,6,53,52,29
36,37,6,5,31,31,35
43,43,5,6,37,37,33
94,83,9,7,86,76,31
31,31,6,6,26,26,2
31,25,6,5,25,20,12
59,52,6,5,54,47,26
34,34,5,5,29,29,12
38,39,5,6,33,34,35
41,41,6,6,36,36,4
100,96,8,8,92,88,12
53,51,6,5,48,46,12
87,80,8,7,80,73,11
30,31,5,6,24,25,7
